geneSymbol,cluster.name,comb.ES,comb.p,comb.padj,comb.ES.rank,comb.positive.freq,sig.N,sig.freq,total.N,ES.max,ES.max.p.adj,TF,kinase,epigenetic regulation,secretory,membrane,enzyme,drug target (FDA),drug target (potential)
SMCHD1,CD4.c08(CREM+ Tm),0.20 ,5.56E-07,9.03E-06,345,52.03%,5,0.36 ,14,0.49 ,3.54E-05,,,TRUE,,,,,
FADS3,CD4.c08(CREM+ Tm),0.20 ,1.79E-08,4.49E-07,347,7.03%,3,0.21 ,14,0.60 ,5.15E-08,,,,,TRUE,,,
ZC3HAV1,CD4.c08(CREM+ Tm),0.20 ,1.53E-08,3.93E-07,348,50.57%,1,0.07 ,14,0.51 ,5.54E-12,,,,,,,,
BEST1,CD4.c08(CREM+ Tm),0.20 ,2.24E-09,7.12E-08,349,11.22%,5,0.36 ,14,0.41 ,1.99E-03,,,,,TRUE,,,TRUE
SLC10A3,CD4.c08(CREM+ Tm),0.20 ,9.91E-06,1.07E-04,350,23.50%,4,0.29 ,14,0.60 ,4.34E-08,,,,,TRUE,,,
NAA50,CD4.c08(CREM+ Tm),0.20 ,3.34E-04,2.10E-03,351,34.11%,3,0.21 ,14,0.92 ,1.07E-18,,,,,,TRUE,,
RHBDF2,CD4.c08(CREM+ Tm),0.20 ,2.39E-05,2.26E-04,352,11.71%,3,0.21 ,14,0.63 ,1.64E-10,,,,,TRUE,TRUE,,TRUE
AAED1,CD4.c08(CREM+ Tm),0.20 ,3.68E-06,4.58E-05,353,18.25%,4,0.29 ,14,0.62 ,3.14E-07,,,,,,,,
ELOVL5,CD4.c08(CREM+ Tm),0.20 ,1.40E-08,3.64E-07,354,50.65%,4,0.29 ,14,0.48 ,9.66E-05,,,,,TRUE,TRUE,,TRUE
ARHGAP9,CD4.c08(CREM+ Tm),0.20 ,1.31E-07,2.59E-06,355,47.52%,5,0.36 ,14,0.60 ,3.39E-08,,,,,,,,
BRAF,CD4.c08(CREM+ Tm),0.20 ,2.13E-11,1.08E-09,356,16.99%,3,0.21 ,14,0.39 ,5.44E-03,,TRUE,,,,TRUE,TRUE,
HLA-C,CD4.c08(CREM+ Tm),0.20 ,2.77E-06,3.60E-05,357,45.69%,3,0.21 ,14,0.62 ,1.01E-08,,,,,TRUE,,,
ATXN7,CD4.c08(CREM+ Tm),0.20 ,5.02E-14,4.41E-12,358,29.80%,4,0.29 ,14,0.36 ,7.29E-03,,,,,,,,
CTSL,CD4.c08(CREM+ Tm),0.20 ,1.59E-04,1.11E-03,359,19.63%,3,0.21 ,14,0.68 ,1.95E-10,,,,,,TRUE,,
AGO2,CD4.c08(CREM+ Tm),0.20 ,4.53E-18,9.20E-16,360,23.17%,3,0.21 ,14,0.35 ,1.99E-02,,,TRUE,,,TRUE,,
COPB1,CD4.c08(CREM+ Tm),0.20 ,7.49E-08,1.59E-06,361,38.33%,4,0.29 ,14,0.62 ,1.42E-08,,,,,,,,
PPP2R5C,CD4.c08(CREM+ Tm),0.20 ,3.34E-07,5.73E-06,362,52.64%,2,0.14 ,14,0.50 ,1.62E-11,,,,,,,,
BRD1,CD4.c08(CREM+ Tm),0.20 ,1.78E-07,3.34E-06,363,8.74%,2,0.14 ,14,0.53 ,2.03E-06,,,,,,,,
ATF7IP,CD4.c08(CREM+ Tm),0.20 ,2.75E-07,4.84E-06,364,41.30%,3,0.21 ,14,0.52 ,1.79E-12,,,TRUE,,,,,
GPBP1,CD4.c08(CREM+ Tm),0.20 ,2.42E-06,3.18E-05,365,51.63%,3,0.21 ,14,0.72 ,4.65E-10,TRUE,,,,,,,
DYNLT3,CD4.c08(CREM+ Tm),0.20 ,5.65E-05,4.67E-04,366,30.77%,3,0.21 ,14,0.71 ,1.40E-23,,,,,,,,
METRNL,CD4.c08(CREM+ Tm),0.20 ,1.55E-06,2.16E-05,368,8.86%,3,0.21 ,14,0.60 ,5.23E-08,,,,TRUE,,,,
NANS,CD4.c08(CREM+ Tm),0.20 ,2.39E-05,2.26E-04,369,30.16%,5,0.36 ,14,0.60 ,3.39E-07,,,,,,TRUE,,TRUE
FNBP1,CD4.c08(CREM+ Tm),0.20 ,5.08E-14,4.43E-12,370,54.02%,1,0.07 ,14,0.36 ,1.79E-02,,,,,,,,
HAUS3,CD4.c08(CREM+ Tm),0.20 ,3.57E-09,1.08E-07,371,20.93%,3,0.21 ,14,0.39 ,1.37E-03,,,,,,,,
TMX4,CD4.c08(CREM+ Tm),0.20 ,6.73E-07,1.06E-05,372,41.02%,2,0.14 ,14,0.49 ,4.50E-11,,,,,TRUE,,,
TOB1,CD4.c08(CREM+ Tm),0.20 ,6.55E-05,5.28E-04,373,40.57%,3,0.21 ,14,0.58 ,1.94E-15,,,,,,,,
MAP1LC3B,CD4.c08(CREM+ Tm),0.19 ,2.41E-07,4.31E-06,374,51.71%,3,0.21 ,14,0.50 ,7.65E-06,,,,,,,,
IGFBP3,CD4.c08(CREM+ Tm),0.19 ,4.11E-04,2.50E-03,375,8.66%,4,0.29 ,14,0.57 ,6.01E-15,,,,TRUE,,,,
MTHFD2,CD4.c08(CREM+ Tm),0.19 ,6.22E-05,5.06E-04,376,37.85%,3,0.21 ,14,0.61 ,2.48E-07,,,,,,TRUE,,
ACTN4,CD4.c08(CREM+ Tm),0.19 ,3.22E-05,2.91E-04,377,43.50%,3,0.21 ,14,0.72 ,1.50E-11,,,,,,,,
TNFRSF1B,CD4.c08(CREM+ Tm),0.19 ,3.82E-06,4.73E-05,378,48.82%,3,0.21 ,14,0.60 ,3.66E-08,,,,TRUE,TRUE,,,
CEBPD,CD4.c08(CREM+ Tm),0.19 ,3.31E-04,2.09E-03,379,11.42%,4,0.29 ,14,0.73 ,2.18E-11,TRUE,,,,,,,
BIK,CD4.c08(CREM+ Tm),0.19 ,2.34E-05,2.22E-04,380,10.69%,4,0.29 ,14,0.56 ,3.74E-07,,,,,TRUE,,,
WDR74,CD4.c08(CREM+ Tm),0.19 ,7.04E-08,1.52E-06,381,33.50%,5,0.36 ,14,0.44 ,2.54E-03,,,,,,,,
ATP1A1,CD4.c08(CREM+ Tm),0.19 ,9.25E-05,7.02E-04,382,52.40%,4,0.29 ,14,0.57 ,6.67E-15,,,,,TRUE,TRUE,TRUE,
ZBED4,CD4.c08(CREM+ Tm),0.19 ,1.58E-05,1.59E-04,383,7.11%,3,0.21 ,14,0.47 ,8.44E-05,TRUE,,,,,,,
ORAI1,CD4.c08(CREM+ Tm),0.19 ,6.92E-05,5.54E-04,384,39.27%,3,0.21 ,14,0.49 ,4.51E-28,,,,,TRUE,,,TRUE
ODC1,CD4.c08(CREM+ Tm),0.19 ,1.01E-04,7.59E-04,385,42.97%,3,0.21 ,14,0.65 ,8.26E-20,,,,,,TRUE,TRUE,
TP53BP2,CD4.c08(CREM+ Tm),0.19 ,3.65E-07,6.21E-06,386,18.90%,3,0.21 ,14,0.44 ,1.52E-04,,,,,,,,
CCNT1,CD4.c08(CREM+ Tm),0.19 ,2.75E-11,1.37E-09,387,24.15%,3,0.21 ,14,0.40 ,2.26E-02,,,,,,,,
ATP1B1,CD4.c08(CREM+ Tm),0.19 ,8.21E-05,6.38E-04,388,15.98%,2,0.14 ,14,0.64 ,2.67E-09,,,,,TRUE,,,
STAT3,CD4.c08(CREM+ Tm),0.19 ,1.04E-05,1.12E-04,389,52.11%,2,0.14 ,14,0.79 ,3.10E-12,TRUE,,TRUE,,,,,
BCAR3,CD4.c08(CREM+ Tm),0.19 ,1.12E-03,5.74E-03,390,2.03%,4,0.29 ,14,0.82 ,7.23E-13,,,,,,,,
CD53,CD4.c08(CREM+ Tm),0.19 ,1.63E-07,3.09E-06,391,51.79%,4,0.29 ,14,0.49 ,1.23E-05,,,,,TRUE,,,
RBM38,CD4.c08(CREM+ Tm),0.19 ,2.04E-04,1.38E-03,392,28.90%,3,0.21 ,14,0.65 ,2.32E-19,,,,,,,,
AHI1,CD4.c08(CREM+ Tm),0.19 ,2.10E-04,1.41E-03,393,19.43%,3,0.21 ,14,0.65 ,2.28E-09,,,,,,,,
PDZD8,CD4.c08(CREM+ Tm),0.19 ,1.06E-09,3.73E-08,394,13.25%,2,0.14 ,14,0.45 ,1.55E-05,,,,,,,,
RASSF2,CD4.c08(CREM+ Tm),0.19 ,3.77E-08,8.72E-07,395,13.05%,3,0.21 ,14,0.53 ,2.29E-06,,TRUE,,,,,,
ERRFI1,CD4.c08(CREM+ Tm),0.19 ,9.55E-05,7.23E-04,396,11.18%,5,0.36 ,14,0.64 ,3.40E-08,,,,,,,,
DNTTIP2,CD4.c08(CREM+ Tm),0.19 ,4.02E-04,2.46E-03,397,38.29%,3,0.21 ,14,0.69 ,1.49E-10,,,,,,,,
CDKN1B,CD4.c08(CREM+ Tm),0.19 ,6.58E-07,1.04E-05,399,48.82%,2,0.14 ,14,0.40 ,2.04E-07,,,,,,,,
STK4,CD4.c08(CREM+ Tm),0.19 ,2.98E-05,2.72E-04,401,52.52%,3,0.21 ,14,0.50 ,1.11E-11,,TRUE,,,,TRUE,,TRUE
CITED2,CD4.c08(CREM+ Tm),0.19 ,8.21E-04,4.39E-03,402,45.37%,3,0.21 ,14,0.88 ,8.72E-17,TRUE,,,,,,,
XCL2,CD4.c08(CREM+ Tm),0.19 ,1.78E-04,1.22E-03,403,7.28%,6,0.43 ,14,0.64 ,7.03E-08,,,,TRUE,,,,
TMF1,CD4.c08(CREM+ Tm),0.19 ,2.41E-09,7.61E-08,405,37.32%,3,0.21 ,14,0.42 ,4.34E-04,,,,,,,,
JMY,CD4.c08(CREM+ Tm),0.18 ,4.28E-07,7.17E-06,406,19.07%,1,0.07 ,14,0.54 ,9.24E-06,,,,,,,,
DUSP10,CD4.c08(CREM+ Tm),0.18 ,8.11E-06,9.09E-05,407,17.97%,2,0.14 ,14,0.55 ,7.61E-07,,,,,,TRUE,,
ICOS,CD4.c08(CREM+ Tm),0.18 ,6.78E-07,1.06E-05,408,44.76%,3,0.21 ,14,0.68 ,3.48E-09,,,,,TRUE,,,
HCG18,CD4.c08(CREM+ Tm),0.18 ,1.88E-09,6.12E-08,409,21.75%,3,0.21 ,14,0.56 ,3.47E-07,,,,,,,,
MGAT5,CD4.c08(CREM+ Tm),0.18 ,4.76E-15,5.19E-13,410,15.49%,3,0.21 ,14,0.38 ,2.04E-03,,,,,TRUE,TRUE,,
SPOCK2,CD4.c08(CREM+ Tm),0.18 ,3.44E-06,4.33E-05,412,50.00%,3,0.21 ,14,0.49 ,6.86E-05,,,,TRUE,,,,
SNRK,CD4.c08(CREM+ Tm),0.18 ,3.76E-10,1.47E-08,413,26.99%,3,0.21 ,14,0.34 ,1.70E-05,,TRUE,,,,TRUE,,
MYL12B,CD4.c08(CREM+ Tm),0.18 ,1.53E-04,1.07E-03,414,51.54%,2,0.14 ,14,0.71 ,2.19E-11,,,,,,,,
GPRIN3,CD4.c08(CREM+ Tm),0.18 ,6.60E-05,5.31E-04,415,41.10%,2,0.14 ,14,0.61 ,2.03E-08,,,,,,,,
DDX21,CD4.c08(CREM+ Tm),0.18 ,1.51E-07,2.93E-06,416,41.83%,4,0.29 ,14,0.56 ,2.51E-06,,,TRUE,,,TRUE,,
IGFBP4,CD4.c08(CREM+ Tm),0.18 ,1.43E-03,7.01E-03,418,13.62%,4,0.29 ,14,0.66 ,1.10E-09,,,,TRUE,,,,
GYG1,CD4.c08(CREM+ Tm),0.18 ,6.90E-04,3.81E-03,419,26.59%,4,0.29 ,14,0.89 ,1.40E-17,,,,,,TRUE,,TRUE
TPRG1,CD4.c08(CREM+ Tm),0.18 ,5.60E-06,6.61E-05,420,7.36%,4,0.29 ,14,0.41 ,7.11E-08,,,,,,,,
SLC38A1,CD4.c08(CREM+ Tm),0.18 ,2.03E-07,3.73E-06,421,50.00%,3,0.21 ,14,0.41 ,6.62E-09,,,,,TRUE,,,
UBE2D3,CD4.c08(CREM+ Tm),0.18 ,3.96E-09,1.18E-07,422,50.77%,2,0.14 ,14,0.55 ,4.98E-06,,,,,,TRUE,,
MBP,CD4.c08(CREM+ Tm),0.18 ,9.52E-04,4.99E-03,423,46.59%,3,0.21 ,14,0.62 ,1.02E-07,,,,,,,,
LMO4,CD4.c08(CREM+ Tm),0.18 ,1.63E-09,5.45E-08,424,18.13%,3,0.21 ,14,0.44 ,1.40E-04,TRUE,,,,,,,
PTPN22,CD4.c08(CREM+ Tm),0.18 ,5.87E-06,6.88E-05,425,38.13%,3,0.21 ,14,0.62 ,8.73E-09,,,,,,TRUE,,TRUE
RAB35,CD4.c08(CREM+ Tm),0.18 ,9.95E-07,1.48E-05,426,22.24%,2,0.14 ,14,0.63 ,8.41E-09,,,,,,,,
IFITM2,CD4.c08(CREM+ Tm),0.18 ,3.33E-05,2.99E-04,427,52.20%,4,0.29 ,14,0.52 ,4.29E-05,,,,,TRUE,,,
SBDS,CD4.c08(CREM+ Tm),0.18 ,6.06E-06,7.06E-05,428,44.07%,2,0.14 ,14,0.40 ,1.25E-02,,,,,,,,
TMEM71,CD4.c08(CREM+ Tm),0.18 ,1.11E-14,1.15E-12,429,15.65%,2,0.14 ,14,0.41 ,4.81E-03,,,,,TRUE,,,
POLR1E,CD4.c08(CREM+ Tm),0.17 ,2.11E-03,9.65E-03,431,20.61%,2,0.14 ,14,0.77 ,3.46E-27,,,TRUE,,TRUE,,,
SLC35E1,CD4.c08(CREM+ Tm),0.17 ,2.99E-07,5.19E-06,432,10.37%,3,0.21 ,14,0.53 ,1.65E-06,,,,,TRUE,,,
TNFRSF12A,CD4.c08(CREM+ Tm),0.17 ,3.10E-05,2.82E-04,433,8.33%,5,0.36 ,14,0.52 ,4.12E-06,,,,,TRUE,,,
SF3A1,CD4.c08(CREM+ Tm),0.17 ,2.31E-10,9.70E-09,434,46.63%,3,0.21 ,14,0.33 ,6.12E-03,,,,,,,,
NCF1,CD4.c08(CREM+ Tm),0.17 ,2.70E-05,2.50E-04,435,27.36%,3,0.21 ,14,0.53 ,1.46E-06,,,,,,,,
CLIC5,CD4.c08(CREM+ Tm),0.17 ,9.06E-04,4.78E-03,436,8.78%,2,0.14 ,14,0.96 ,1.70E-20,,,,,,,,TRUE
LRRFIP1,CD4.c08(CREM+ Tm),0.17 ,3.80E-06,4.71E-05,437,54.15%,2,0.14 ,14,0.44 ,1.64E-04,TRUE,,,,,,,
ERN1,CD4.c08(CREM+ Tm),0.17 ,5.96E-05,4.88E-04,438,34.47%,3,0.21 ,14,0.36 ,2.28E-15,,TRUE,,,TRUE,TRUE,,
CBLB,CD4.c08(CREM+ Tm),0.17 ,4.57E-07,7.56E-06,440,42.52%,3,0.21 ,14,0.46 ,1.36E-04,,,,,,TRUE,,
ULBP2,CD4.c08(CREM+ Tm),0.17 ,7.83E-05,6.13E-04,442,5.49%,5,0.36 ,14,0.60 ,4.42E-07,,,,TRUE,TRUE,,,
DUSP8,CD4.c08(CREM+ Tm),0.17 ,6.54E-05,5.27E-04,443,3.13%,4,0.29 ,14,0.50 ,7.70E-06,,,,,,TRUE,,
HIPK1,CD4.c08(CREM+ Tm),0.17 ,3.30E-17,5.79E-15,444,17.07%,3,0.21 ,14,0.32 ,3.00E-02,,TRUE,,,TRUE,TRUE,,
PGAP1,CD4.c08(CREM+ Tm),0.17 ,1.75E-04,1.21E-03,445,12.36%,4,0.29 ,14,0.54 ,1.31E-06,,,,,TRUE,,,
MAP3K2,CD4.c08(CREM+ Tm),0.17 ,1.04E-13,8.46E-12,446,23.66%,3,0.21 ,14,0.40 ,9.32E-04,,TRUE,,,,TRUE,,
SKI,CD4.c08(CREM+ Tm),0.17 ,3.74E-09,1.12E-07,447,14.51%,2,0.14 ,14,0.36 ,3.96E-03,TRUE,,,,,,,
EIF1AX,CD4.c08(CREM+ Tm),0.17 ,2.46E-05,2.31E-04,448,46.18%,3,0.21 ,14,0.64 ,4.49E-09,,,,,,,,
RELL1,CD4.c08(CREM+ Tm),0.17 ,2.25E-06,2.98E-05,449,13.25%,3,0.21 ,14,0.49 ,1.40E-03,,,,,TRUE,,,
SMARCA5,CD4.c08(CREM+ Tm),0.17 ,1.61E-06,2.23E-05,450,39.39%,2,0.14 ,14,0.51 ,6.68E-06,TRUE,,TRUE,,,,,
GOLGB1,CD4.c08(CREM+ Tm),0.17 ,1.87E-07,3.48E-06,451,33.13%,2,0.14 ,14,0.52 ,1.69E-04,TRUE,,,,TRUE,,,
TUBA1A,CD4.c08(CREM+ Tm),0.17 ,1.18E-04,8.61E-04,452,48.54%,2,0.14 ,14,0.48 ,1.08E-10,,,,,,,TRUE,
ZNF250,CD4.c08(CREM+ Tm),0.17 ,1.22E-07,2.44E-06,453,9.96%,4,0.29 ,14,0.50 ,2.08E-05,TRUE,,,,,,,
CCSER2,CD4.c08(CREM+ Tm),0.17 ,4.90E-08,1.09E-06,454,39.15%,2,0.14 ,14,0.33 ,9.51E-03,,,,,,,,
EIF4G2,CD4.c08(CREM+ Tm),0.17 ,3.39E-07,5.79E-06,455,53.37%,4,0.29 ,14,0.38 ,1.57E-03,,,,,,,,
ARF6,CD4.c08(CREM+ Tm),0.17 ,1.97E-05,1.93E-04,456,53.66%,3,0.21 ,14,0.35 ,5.77E-03,,,,,,,,
MACF1,CD4.c08(CREM+ Tm),0.17 ,8.24E-08,1.74E-06,457,39.35%,3,0.21 ,14,0.35 ,4.93E-03,,,,,TRUE,,,
UBE2D1,CD4.c08(CREM+ Tm),0.17 ,2.43E-05,2.28E-04,458,25.98%,2,0.14 ,14,0.51 ,2.83E-05,,,,,,TRUE,,
HBP1,CD4.c08(CREM+ Tm),0.17 ,1.77E-06,2.42E-05,459,38.09%,3,0.21 ,14,0.46 ,2.95E-04,TRUE,,,,,,,
TARSL2,CD4.c08(CREM+ Tm),0.17 ,3.62E-08,8.44E-07,460,23.21%,2,0.14 ,14,0.31 ,1.04E-01,,,,,,TRUE,,
AKNA,CD4.c08(CREM+ Tm),0.17 ,4.47E-05,3.83E-04,461,44.67%,3,0.21 ,14,0.50 ,1.01E-11,TRUE,,,,,,,
ISG20,CD4.c08(CREM+ Tm),0.17 ,2.89E-04,1.86E-03,462,51.26%,5,0.36 ,14,0.47 ,1.06E-03,,,,,,TRUE,,
MARCKSL1,CD4.c08(CREM+ Tm),0.17 ,2.06E-04,1.39E-03,463,32.97%,3,0.21 ,14,0.50 ,2.45E-13,,,,,,,,
CYBA,CD4.c08(CREM+ Tm),0.17 ,1.75E-05,1.74E-04,464,49.76%,2,0.14 ,14,0.60 ,3.38E-08,,,,,TRUE,,,TRUE
MAF,CD4.c08(CREM+ Tm),0.17 ,6.98E-12,4.05E-10,465,33.78%,1,0.07 ,14,0.30 ,5.69E-02,TRUE,,,,,,,
ARHGAP26,CD4.c08(CREM+ Tm),0.17 ,5.96E-06,6.96E-05,466,8.41%,2,0.14 ,14,0.50 ,8.49E-06,,,,,TRUE,,,
ZFAND5,CD4.c08(CREM+ Tm),0.17 ,6.71E-04,3.74E-03,467,45.61%,7,0.50 ,14,0.54 ,3.28E-06,,,,,,,,
ZBTB21,CD4.c08(CREM+ Tm),0.16 ,7.45E-08,1.59E-06,468,10.65%,3,0.21 ,14,0.44 ,1.75E-04,TRUE,,,,,,,
SERPINB9,CD4.c08(CREM+ Tm),0.16 ,9.10E-04,4.80E-03,469,34.07%,2,0.14 ,14,0.55 ,5.13E-07,,,,,,,,
NXT1,CD4.c08(CREM+ Tm),0.16 ,1.49E-05,1.52E-04,470,27.24%,3,0.21 ,14,0.43 ,7.13E-04,,,,,,,,
ST3GAL1,CD4.c08(CREM+ Tm),0.16 ,1.86E-05,1.84E-04,471,30.73%,2,0.14 ,14,0.34 ,1.64E-05,,,,,,TRUE,,
TOB2,CD4.c08(CREM+ Tm),0.16 ,4.52E-07,7.48E-06,472,22.52%,5,0.36 ,14,0.44 ,7.24E-03,,,,,,,,
HNRNPAB,CD4.c08(CREM+ Tm),0.16 ,2.03E-03,9.33E-03,473,38.62%,4,0.29 ,14,0.69 ,1.09E-10,TRUE,,,,,,,
DYNC1H1,CD4.c08(CREM+ Tm),0.16 ,1.25E-07,2.48E-06,474,38.50%,1,0.07 ,14,0.46 ,6.49E-05,,,,,,,,
UBE2A,CD4.c08(CREM+ Tm),0.16 ,3.81E-05,3.35E-04,475,40.45%,3,0.21 ,14,0.51 ,4.34E-06,,,,,,TRUE,,TRUE
CEBPB,CD4.c08(CREM+ Tm),0.16 ,5.16E-05,4.33E-04,476,27.64%,3,0.21 ,14,0.55 ,1.55E-06,TRUE,,,,,,,
GNA13,CD4.c08(CREM+ Tm),0.16 ,1.27E-05,1.33E-04,478,25.77%,3,0.21 ,14,0.42 ,4.08E-08,,,,,,,,
HSPA13,CD4.c08(CREM+ Tm),0.16 ,7.08E-07,1.10E-05,479,16.42%,3,0.21 ,14,0.35 ,7.20E-02,,,,,,,,
RALA,CD4.c08(CREM+ Tm),0.16 ,1.31E-03,6.51E-03,480,29.39%,3,0.21 ,14,0.48 ,4.93E-06,,,,,,,,
PIP4K2A,CD4.c08(CREM+ Tm),0.16 ,4.64E-06,5.57E-05,481,21.06%,3,0.21 ,14,0.55 ,1.42E-06,,TRUE,,,,TRUE,,
NEU1,CD4.c08(CREM+ Tm),0.16 ,2.07E-05,2.02E-04,482,29.59%,3,0.21 ,14,0.44 ,1.55E-04,,,,,,TRUE,,TRUE
SMAP2,CD4.c08(CREM+ Tm),0.16 ,1.45E-05,1.49E-04,483,46.63%,3,0.21 ,14,0.45 ,4.52E-04,,,,,,,,
NAF1,CD4.c08(CREM+ Tm),0.16 ,1.48E-04,1.04E-03,484,16.59%,3,0.21 ,14,0.50 ,1.16E-05,,,,,,,,
ORAI2,CD4.c08(CREM+ Tm),0.16 ,6.14E-09,1.74E-07,485,14.92%,1,0.07 ,14,0.35 ,3.95E-02,,,,,TRUE,,,
ABHD5,CD4.c08(CREM+ Tm),0.16 ,2.24E-06,2.97E-05,486,17.80%,3,0.21 ,14,0.46 ,5.40E-05,,,,,,TRUE,,TRUE
AVPI1,CD4.c08(CREM+ Tm),0.16 ,6.62E-04,3.69E-03,487,8.01%,3,0.21 ,14,0.65 ,3.95E-07,,,,,,,,
HMGB2,CD4.c08(CREM+ Tm),0.16 ,6.52E-04,3.65E-03,488,50.16%,2,0.14 ,14,0.50 ,1.47E-06,,,,,,,,
CD226,CD4.c08(CREM+ Tm),0.16 ,1.80E-04,1.23E-03,489,22.80%,4,0.29 ,14,0.52 ,2.33E-12,,,,,TRUE,,,
CASP3,CD4.c08(CREM+ Tm),0.16 ,3.95E-06,4.87E-05,490,22.76%,3,0.21 ,14,0.49 ,1.25E-05,,,,,,TRUE,,
PITPNC1,CD4.c08(CREM+ Tm),0.16 ,3.35E-07,5.73E-06,491,31.95%,2,0.14 ,14,0.29 ,1.15E-04,,,,,,,,
CTH,CD4.c08(CREM+ Tm),0.16 ,7.71E-05,6.06E-04,492,5.33%,2,0.14 ,14,0.41 ,1.62E-02,,,,,,TRUE,,TRUE
ARID4B,CD4.c08(CREM+ Tm),0.16 ,7.60E-06,8.58E-05,493,51.06%,3,0.21 ,14,0.56 ,2.72E-06,TRUE,,TRUE,,,,,
DNAJC1,CD4.c08(CREM+ Tm),0.16 ,1.37E-04,9.78E-04,494,37.32%,3,0.21 ,14,0.57 ,2.91E-07,TRUE,,,,TRUE,,,
WSB1,CD4.c08(CREM+ Tm),0.16 ,4.75E-06,5.69E-05,496,49.63%,3,0.21 ,14,0.50 ,5.94E-05,,,,,,,,
TUBA1B,CD4.c08(CREM+ Tm),0.16 ,3.37E-04,2.12E-03,497,52.56%,2,0.14 ,14,0.56 ,1.68E-14,,,,,,,,
UBE2B,CD4.c08(CREM+ Tm),0.16 ,2.71E-04,1.76E-03,498,49.19%,3,0.21 ,14,0.67 ,6.90E-09,,,TRUE,,,TRUE,,
SMURF2,CD4.c08(CREM+ Tm),0.16 ,1.15E-07,2.33E-06,499,8.46%,2,0.14 ,14,0.37 ,5.09E-03,,,,,,TRUE,,
WNK1,CD4.c08(CREM+ Tm),0.16 ,1.63E-05,1.64E-04,500,41.02%,3,0.21 ,14,0.54 ,1.85E-04,,TRUE,,,,TRUE,,TRUE
IRF2BPL,CD4.c08(CREM+ Tm),0.16 ,1.31E-12,8.80E-11,501,19.88%,2,0.14 ,14,0.28 ,8.21E-02,TRUE,,,,,,,
DHX36,CD4.c08(CREM+ Tm),0.16 ,2.84E-05,2.62E-04,503,38.70%,3,0.21 ,14,0.54 ,9.25E-07,,,,,TRUE,TRUE,,
PHF20,CD4.c08(CREM+ Tm),0.16 ,5.58E-06,6.60E-05,504,39.80%,2,0.14 ,14,0.40 ,1.48E-07,TRUE,,,,,,,
EPS15,CD4.c08(CREM+ Tm),0.16 ,6.54E-06,7.57E-05,505,34.11%,4,0.29 ,14,0.45 ,9.13E-05,,,,,,,,
MCM6,CD4.c08(CREM+ Tm),0.15 ,1.05E-04,7.82E-04,506,18.90%,3,0.21 ,14,0.42 ,1.34E-03,,,,,,TRUE,,
SIK2,CD4.c08(CREM+ Tm),0.15 ,1.45E-05,1.49E-04,507,13.17%,3,0.21 ,14,0.43 ,5.16E-08,,TRUE,,,TRUE,TRUE,,
MTFP1,CD4.c08(CREM+ Tm),0.15 ,3.88E-04,2.39E-03,508,21.50%,2,0.14 ,14,0.49 ,9.23E-05,,,,,TRUE,,,
PELO,CD4.c08(CREM+ Tm),0.15 ,3.28E-06,4.17E-05,509,11.75%,2,0.14 ,14,0.48 ,2.57E-05,,,,,,,,
ETS2,CD4.c08(CREM+ Tm),0.15 ,1.12E-05,1.19E-04,510,9.84%,1,0.07 ,14,0.45 ,1.89E-09,TRUE,,,,,,,
RRAS2,CD4.c08(CREM+ Tm),0.15 ,3.47E-04,2.17E-03,511,8.98%,3,0.21 ,14,0.60 ,3.38E-08,,,,,,,,
ARID5B,CD4.c08(CREM+ Tm),0.15 ,7.15E-04,3.90E-03,512,48.13%,2,0.14 ,14,0.72 ,4.10E-10,TRUE,,,,,,,
CPD,CD4.c08(CREM+ Tm),0.15 ,1.40E-04,9.95E-04,513,18.17%,3,0.21 ,14,0.47 ,3.54E-04,,,,,TRUE,TRUE,,
OSBPL8,CD4.c08(CREM+ Tm),0.15 ,1.49E-10,6.56E-09,514,43.58%,0,0.00 ,14,0.29 ,3.13E-02,,,,,TRUE,,,
DDX27,CD4.c08(CREM+ Tm),0.15 ,7.25E-14,6.14E-12,515,29.47%,1,0.07 ,14,0.37 ,2.31E-03,,,,,,TRUE,,
PLXND1,CD4.c08(CREM+ Tm),0.15 ,1.05E-06,1.55E-05,516,6.54%,1,0.07 ,14,0.36 ,8.78E-02,,,,,TRUE,,,
MECP2,CD4.c08(CREM+ Tm),0.15 ,6.72E-06,7.72E-05,517,33.17%,2,0.14 ,14,0.41 ,2.82E-03,TRUE,,TRUE,,,,,
MOB4,CD4.c08(CREM+ Tm),0.15 ,1.47E-05,1.50E-04,518,33.90%,2,0.14 ,14,0.47 ,3.48E-05,,,,,,,,
GZMM,CD4.c08(CREM+ Tm),0.15 ,1.08E-03,5.53E-03,519,43.17%,3,0.21 ,14,0.71 ,3.22E-11,,,,TRUE,,TRUE,,
PLEKHO1,CD4.c08(CREM+ Tm),0.15 ,8.73E-05,6.70E-04,520,13.46%,2,0.14 ,14,0.53 ,1.76E-06,,,,,,,,
EIF4A1,CD4.c08(CREM+ Tm),0.15 ,3.09E-05,2.81E-04,521,38.17%,3,0.21 ,14,0.49 ,5.48E-04,,,,,,TRUE,,
RELT,CD4.c08(CREM+ Tm),0.15 ,9.80E-08,2.03E-06,522,8.90%,3,0.21 ,14,0.33 ,2.12E-02,,,,,TRUE,,,
